tx_sender,total_txn_gas_spent
0XE743A49F04F2F77EB2D3B753AE3AD599DE8CEA84,39279778445
0X2700A2A348D60FBE2443648CCEBB8DEEC67D53C6,38944786213
0X95205E1FBA8DEE07DD457558C83A6D395910570C,37957558519
0XC76374D53232B37AFEA67D211CF19417B4BCD21E,37658871419
0XD453620F515E1F0A355D1AF0F3B92F270BCCE684,37497116393
0X74092410C5DA42D285396FCB49111BEEE2E831EB,36854724228
0X432F040CCEE378210A5C27942C9904332864E5A5,35805091068
0XB8FF877ED78BA520ECE21B1DE7843A8A57CA47CB,32269295154
0XE4310545E143B6E44AEFA9A96F9ACA44984CB1E0,31898671159
0XAE796FEA209C83631C26A31AEE1136BC167C5EF6,31283204014
0XC2A0D29E651E2B470EB5D13C65900061886CF5B9,29933868460
0XFC2B0EA4F1910833DB4FDC7ECAB54C8B93FB956F,29618271595
0X3E1717A7320918228EC54B8DFA2CE0FD6DBCFDB2,28588295039
0XD69EECAF9A747AFF01B12DAA3F07175A3A13ABB6,28257389380
0XF35F6C823E482AA928C5F38A0E4355F3B5D77D8D,27852725277
0XD3E4BDC6CDCFF041D3501DF07A97F597278EBF11,27526548130
0XF9501A4F4EBA0121F613C9073A80DE4FA0EBF55D,23484947080
0X8F02DF367D80DC5E7EB2FEBD334AB473B35CC269,20771553399
0X858E40A7A5D105B7C18196EE2698C39E4BDFC46A,20282878746
0X56DB3D50F8711FBAB02A37E80D0ED6B019D5F654,19980446740
0XD99AC0681B904991169A4F398B9043781ADBE0C3,18490743768
0X9CCB778D4807F29C1963699CB546455965DF6C15,18432182339
0X948AF0EC88F254CE8867B905F72E97C603E4AED5,17904110601
0X7ED5F6D53D3E75B0B4CE9EE84B27C8B527376621,17856573367
0X385269696F8AD66FA463B25ECB59B236763B53C1,17569385722
0XDC84E1905DA1CC0201A54143DCCC2F6F925B74B2,17413716796
0X16DA05F1B260E9843E403E6C6CBB3DD1CF92A762,17314760867
0X135C653984C9E098CBE46529945733DE6643F5F3,16657892183
0X25E58696FBC8EB88301EE06A57F77D9F0715EC97,16572337259
0X80DE49A2BD357B7D0061A6A614F4E3E77B704BC8,16199964118
0X0864C1F065FF5564F4649A58A516C7F7C20BC369,16082478957
0X9728F7772F95A7346C22C831FF6BAC565662D8DA,15982130148
0X4E73199CEC5D87FAF869F7736694FB8F076F9BC7,15904844120
0X665E32B4B787637D34B8526F7618E4A441635996,15866802147
0X5059CB8C7A9D08CB6461FF0A991B714602226A9B,15499395119
0X77A862FA32996C42EC282FC413422B8A9FADCAC1,15329955620
0XC182AA0ECB24A674C00C76CE8F1761CC5A10611C,15277388554
0XDB0EFAE687EEB765C86C8DF37EAF7F3560C450C4,14930955793
0XFA65E65A6321C37486972D71B3F50400BD43F974,14925921721
0XCAD16A429344D5CAD94A9F0DB6483CAB7AD92429,14832515682
0XB305EDDEAE39F6A23900A5F280ECA2B125820A8E,14458701142
0X9EDB4AEBA2753499D88DC40086A5230182889B52,14336040877
0X6A83071BB3EAD7B8C1A08487DDDD10C3027C4CA2,14146053834
0X89D58350332F0369724DD996A4BBE6B0791CF079,14144666721
